material,lattice_a,atom_Z,bond_energy,density,Eg
Si,5.431,14,2.32,2.33,1.12
Ge,5.658,32,2.12,5.32,0.66
Se,4.364,34,1.86,4.81,1.74
Te,4.457,52,1.71,6.24,0.34
C,3.567,6,3.68,3.51,5.47
B,8.793,5,3.02,2.34,1.5
GaAs,5.653,32,3.62,5.32,1.42
GaP,5.451,23,3.48,4.13,2.26
GaN,3.189,22,4.27,6.15,3.4
InP,5.869,41,3.35,4.81,1.35
InAs,6.058,42,3.21,5.67,0.36
AlAs,5.66,17,3.58,3.76,2.16
AlP,5.458,16,3.42,2.4,2.45
InSb,6.479,50,3.01,5.78,0.17
GaSb,6.096,33,3.13,5.61,0.72
AlSb,6.136,18,3.08,4.26,1.61
ZnO,3.249,23,3.72,5.61,3.37
ZnS,5.406,23,3.45,4.09,3.54
ZnSe,5.668,32,3.12,5.27,2.7
ZnTe,6.103,41,2.88,5.63,2.26
CdS,5.832,32,3.1,4.82,2.42
CdSe,6.05,41,2.86,5.81,1.73
CdTe,6.481,50,2.62,5.85,1.56
MgO,4.211,12,4.2,3.58,7.8
MgS,5.2,16,3.18,2.84,4.5
TiO₂,3.785,18,4.05,3.89,3.2
WO₃,7.21,48,3.82,7.16,2.7
NiO,4.177,28,3.65,6.67,3.6
Cu₂O,4.269,29,3.12,6,2.17
Fe₂O₃,5.427,26,3.58,5.27,2.2
